ma_hang,vi_tri
MAU-001VGVP8,B1-T1
MAU-003VP8,B1-T1
MAU-004VP8,B1-T1
MAU-005VP8,B1-T2
MAU-006VP8,B1-T2
MAU-009VGVP8,B1-T3
MAU-011VGVP8,B1-T3
MAU-012MK,B1-T3
MAU-013VP8,B1-T4
MAU-015VP8,B1-T4
MAU-016VP8,B1-T4
MAU-017VP8,B1-T5
MAU-018VP8,B1-T5
MAU-024VP8,B1-T5
MAU-025VP8,B1-T6
MAU-025SF,B1-T6
MAU-027VP8,B2-T6
MAU-028VP8,B2-T6
MAU-030VP8,B2-T6
MAU-031VP8,B2-T5
MAU-032VP8,B2-T5
MAU-041VP8,B2-T5
MAU-101VP8,B2-T4
MAU-103HĐ,B2-T3
MAU-104VP8,B2-T2
MAU-106VP8,B3-T1
MAU-200SF,B3-T2
MAU-201VP8,B3-T2
MAU-202SF,B3-T3
MAU-202HD,B3-T3
MAU-202VP8,B3-T4
MAU-203VP8,B3-T4
MAU-205HD,B3-T5
MAU-205VP8,B3-T5
MAU-206VGVP8,B3-T6
MAU-212VP8,B3-T6
MAU-213VP8,B4-T6
MAU-214VP8,B4-T6
MAU-215VP8,B4-T6
MAU-216VP8,B4-T5
MAU-217VP8,B4-T5
MAU-218VP8,B4-T5
MAU-218-3LO,B4-T4
MAU-220VP8,B4-T4
MAU-222VP8,B4-T3
MAU-230HĐ,B4-T3
MAU-257VP8,B4-T2
MAU-303VP8,B4-T2
MAU-313VP8,B4-T1
MAU-323VP8,B4-T1
MAU-324,B4-T1
MAU-324VP8,C1-T1
MAU-325VP8,C1-T1
MAU-328,C1-T1
MAU-328HĐ,C1-T2
MAU-329VP8,C1-T2
MAU-330VP8,C1-T3
MAU-331VP8,C1-T4
MAU-332VP8,C1-T4
MAU-333VP8,C1-T5
MAU-334VP8,C1-T6
MAU-335VP8,C1-T6
MAU-336VP8,C1-T6
MAU-337HĐ,C2-T6
MAU-338VP8,C2-T6
MAU-340VP8,C2-T6
MAU-347HĐ,C2-T5
MAU-359VP8,C2-T5
MAU-379VP8,C2-T4
MAU-383VP8,C2-T4
MAU-384VP8,C2-T3
MAU-386HD,C2-T3
MAU-388Z,C2-T2
MAU-389VP8,C2-T1
MAU-390VP8,C2-T1
MAU-402MK,C3-T1
MAU-403VP8,C3-T1
MAU-404VP8,C3-T2
MAU-405VP8,C3-T2
MAU-406VP8,C3-T3
MAU-407VP8,C3-T3
MAU-408VP8,C3-T4
MAU-409VP8,C3-T4
MAU-410VP8,C3-T5
MAU-410HĐ,C3-T5
MAU-411VP8,C3-T6
MAU-412VP8,C3-T6
MAU-413VP8,C4-T6
MAU-414VP8,C4-T6
MAU-415VP8,C4-T5
MAU-416VP8,C4-T5
MAU-417VP8,C4-T4
MAU-419VP8,C4-T4
MAU-419LO,C4-T4
MAU-420VP8,C4-T3
MAU-421VP8,C4-T3
MAU-422VP8,C4-T3
MAU-423VP8,C4-T2
MAU-424VP8,C4-T2
MAU-425VP8,C4-T2
MAU-426VP8,C4-T1
MAU-427VP8,C4-T1
MAU-428VP8,D4-T4
MAU-429LO,D4-T4
MAU-430VP8,D4-T4
MAU-431VP8,D4-T5
MAU-432,D4-T5
MAU-433VP8,D4-T4
MAU-434VP8,D4-T4
MAU-435VP8,D4-T3
MAU-436VP8,D4-T3
MAU-437VP8,D4-T2
MAU-439LO,D4-T2
MAU-440VP8,D4-T1
MAU-441VP8,D4-T1
MAU-442VP8,D4-T1
MAU-443VP8,D3-T1
MAU-444HĐ,D3-T1
MAU-445HĐ,D3-T1
MAU-446,D3-T2
MAU-447LO,D3-T2
MAU-448VP8,D3-T2
MAU-449VP8,D3-T3
MAU-450LO,D3-T3
MAU-452LO,D3-T3
MAU-453LO,D3-T4
MAU-455VP8,D3-T4
MAU-458LO,D3-T5
MAU-459LO,D3-T5
MAU-460VP8,D3-T5
MAU-461VP8,D3-T6
